address,Latitude,Longitude,sqft,year
"4400 12th Street Extension, West Columbia (Cayce), South Carolina",33.9112437,-81.0502798,1250000.0,2011
"222 Old Wire Rd, West Columbia, South Calolina",33.8949852,-81.0431496,120000.0,2017
"402 John Dodd Rd, Spartanburg, ‘South Carolina",35.0084212,-82.0355163,1016100.0,2012
"845 Paragon Way, Rock Hill, ‘South Carolina",34.9612866,-80.9734867,507500.0,2018
"Foundation Court, Sioux Falls, ‘South Dakota",43.6245868,-96.7823772,640000.0,2022
"500 Duke Dr, Lebanon, Tennessee",36.1202665,-86.4095554,1200000.0,2013
"2020 Joe B Jackson Pkwy, ‘Murfreesboro, Tennessee",35.7776498,-86.3639698,1000000.0,2012
"7200 Discovery Drive, Chattanooga, Tennessee",35.068898,-85.1416409,1020000.0,2011
"225 Infinity Dr NW, Charleston, Tennessee",35.2826193,-84.8121439,1016100.0,2011
"10 Dell Parkway, Nashville, Tennessee",36.1080931,-86.6815308,100000.0,2020
"4055 New Allen Road, Raleigh (North Memphis), Tennessee",35.2367768,-89.9522282,855000.0,2020
"6060 Golden Bear Gateway, ‘Mount Juliet, Tennessee",36.1928086,-86.4808571,640000.0,2021
"4101 S Singleton Station Rd, Rockford, Alcoa, Tennessee",35.8340045,-83.9568754,634800.0,2022
"2800 International Blvd., Clarksville, Tennessee",36.5626306,-87.2389093,1100000.0,2021
"3818 Logistics Way, Antioch, Tennessee",36.029713,-86.6101511,517500.0,2020
"4121 International Pkwy, Carrollton, Texas",33.0206456,-96.8490034,146000.0,2010
"940 W. Bethel Road , Coppell, Texas",32.9586061,-97.0169161,1053400.0,2013
"700 Westport Parkway, (Haslet) Fort Worth, Texas",32.9707467,-97.3357906,1200000.0,2013
"2601 S. Airfield Drive Irving, Dallas, Texas",32.8646817,-97.029707,1000000.0,2020
"1301 Chalk Hill Road Dallas, Texas",32.7558565,-96.9041442,855000.0,2020
"2701 W. Bethel Road, Coppell, Texas",32.951739,-97.0281605,1041600.0,2016
"15201 Heritage Parkway, Fort Worth, Texas",33.0033323,-97.2983263,1000000.0,2016
"2601 W. Bethel Road, Grapevine (Coppell), Texas",32.9521693,-97.0316981,1002800.0,2018
"944 W. Sandy Lake Road, Coppell, Texas",32.9737617,-97.0224819,604800.0,2017
"3351 Balmorhea Dr, Dallas, Texas",32.6335561,-96.7716612,918800.0,2017
"14900 Frye Road, Fort Worth, Texas",32.8180131,-97.0421147,495000.0,2014
"6000 Schertz Parkway, Schertz, Texas",29.6002472,-98.2907108,1262300.0,2013
"1401 East McCarty Lane, San Marcos, Texas",29.8373318,-97.9629529,855000.0,2016
"6806 Cal Turner Drive San Antonio, Texas",29.4261057,-98.355081,750000.0,2022
10360 US-90 San Antoni Texas,29.3820912,-98.6958845,1005000.0,2021
"1346 Fortuna Rd , San Marcos, Texas",29.9299427,-97.8760471,1005000.0,2021
"9851 Fallbrook Pines Dr, #100, Houston, Texas",29.9207921,-95.5346612,111000.0,2018
"6911 Fairbanks N, Houston, Texas",29.8685866,-95.5261342,252000.0,2019
"4500 S. Pleasant Valley Road, Ste. 201, Austin, Texas",30.2056418,-97.7432384,162200.0,2020
"1625 Hutton Drive, Carrollton, Texas",32.9430312,-96.9154357,235900.0,2019
"4445 Rock Quarry Road, Dallas, Texas",32.7529726,-96.8895562,175400.0,2021
"10611 Red Bluff Rd, Pasadena, Texas",29.6064003,-95.0743012,297400.0,2021
"10550 Ella Boulevard, Houston, Texas",29.934448,-95.4283222,855000.0,2017
"31555 US-90, Katy (Brookshire), Texas",29.7837475,-95.91631,1016000.0,2018
